[34m[1mwandb[0m: [33mWARNING[0m The `run_name` is currently set to the same value as `TrainingArguments.output_dir`. If this was not intended, please specify a different run name by setting the `TrainingArguments.run_name` parameter.
                                                                                                                                                                                                                         
{'loss': 9.7873, 'grad_norm': 1.9375, 'learning_rate': 4.999998644843012e-05, 'epoch': 0.0}
{'loss': 9.6388, 'grad_norm': 2.515625, 'learning_rate': 4.9999986292217365e-05, 'epoch': 0.0}
{'loss': 9.8569, 'grad_norm': 1.6953125, 'learning_rate': 4.99999861351094e-05, 'epoch': 0.0}
{'loss': 9.844, 'grad_norm': 1.703125, 'learning_rate': 4.999998597710624e-05, 'epoch': 0.0}
{'loss': 9.8478, 'grad_norm': 1.8828125, 'learning_rate': 4.999998581820788e-05, 'epoch': 0.0}
{'loss': 9.9064, 'grad_norm': 1.9765625, 'learning_rate': 4.999998565841432e-05, 'epoch': 0.0}
{'loss': 9.7747, 'grad_norm': 2.0, 'learning_rate': 4.9999985497725546e-05, 'epoch': 0.0}
{'loss': 9.6941, 'grad_norm': 1.96875, 'learning_rate': 4.999998533614158e-05, 'epoch': 0.0}
{'loss': 9.7473, 'grad_norm': 1.8125, 'learning_rate': 4.999998517366241e-05, 'epoch': 0.0}
{'loss': 9.7603, 'grad_norm': 2.546875, 'learning_rate': 4.999998501028804e-05, 'epoch': 0.0}
{'loss': 9.8174, 'grad_norm': 1.7578125, 'learning_rate': 4.9999984846018465e-05, 'epoch': 0.0}
{'loss': 9.8531, 'grad_norm': 1.90625, 'learning_rate': 4.9999984680853694e-05, 'epoch': 0.0}
{'loss': 9.9135, 'grad_norm': 2.3125, 'learning_rate': 4.999998451479372e-05, 'epoch': 0.0}
{'loss': 9.8824, 'grad_norm': 1.96875, 'learning_rate': 4.999998434783854e-05, 'epoch': 0.0}
{'loss': 10.0706, 'grad_norm': 1.90625, 'learning_rate': 4.999998417998816e-05, 'epoch': 0.0}
{'loss': 9.6562, 'grad_norm': 2.171875, 'learning_rate': 4.999998401124257e-05, 'epoch': 0.0}
{'loss': 9.9295, 'grad_norm': 1.8203125, 'learning_rate': 4.9999983841601795e-05, 'epoch': 0.0}
{'loss': 9.9017, 'grad_norm': 1.6953125, 'learning_rate': 4.9999983671065806e-05, 'epoch': 0.0}
{'loss': 9.6928, 'grad_norm': 2.078125, 'learning_rate': 4.9999983499634624e-05, 'epoch': 0.0}
{'loss': 9.6166, 'grad_norm': 2.3125, 'learning_rate': 4.999998332730823e-05, 'epoch': 0.0}
{'loss': 9.7085, 'grad_norm': 2.359375, 'learning_rate': 4.9999983154086646e-05, 'epoch': 0.0}
{'loss': 9.7789, 'grad_norm': 1.6015625, 'learning_rate': 4.999998297996985e-05, 'epoch': 0.0}
{'loss': 9.5794, 'grad_norm': 2.125, 'learning_rate': 4.999998280495786e-05, 'epoch': 0.0}
{'loss': 9.8355, 'grad_norm': 1.90625, 'learning_rate': 4.9999982629050665e-05, 'epoch': 0.0}
{'loss': 9.5134, 'grad_norm': 2.21875, 'learning_rate': 4.999998245224827e-05, 'epoch': 0.0}
{'loss': 9.7305, 'grad_norm': 2.140625, 'learning_rate': 4.999998227455067e-05, 'epoch': 0.0}
{'loss': 9.7186, 'grad_norm': 2.296875, 'learning_rate': 4.9999982095957875e-05, 'epoch': 0.0}
{'loss': 9.8268, 'grad_norm': 2.125, 'learning_rate': 4.999998191646987e-05, 'epoch': 0.0}
{'loss': 9.7657, 'grad_norm': 1.796875, 'learning_rate': 4.999998173608667e-05, 'epoch': 0.0}
{'loss': 9.8626, 'grad_norm': 2.171875, 'learning_rate': 4.9999981554808265e-05, 'epoch': 0.0}
{'loss': 9.7752, 'grad_norm': 2.046875, 'learning_rate': 4.9999981372634666e-05, 'epoch': 0.0}
{'loss': 9.5846, 'grad_norm': 2.21875, 'learning_rate': 4.9999981189565855e-05, 'epoch': 0.0}
{'loss': 9.7757, 'grad_norm': 1.71875, 'learning_rate': 4.9999981005601846e-05, 'epoch': 0.0}
{'loss': 9.7481, 'grad_norm': 1.84375, 'learning_rate': 4.999998082074264e-05, 'epoch': 0.0}
{'loss': 9.8026, 'grad_norm': 1.9921875, 'learning_rate': 4.9999980634988225e-05, 'epoch': 0.0}
{'loss': 9.7738, 'grad_norm': 1.890625, 'learning_rate': 4.999998044833861e-05, 'epoch': 0.0}
{'loss': 9.6335, 'grad_norm': 2.015625, 'learning_rate': 4.99999802607938e-05, 'epoch': 0.0}
{'loss': 9.7335, 'grad_norm': 1.921875, 'learning_rate': 4.999998007235378e-05, 'epoch': 0.0}
{'loss': 9.7704, 'grad_norm': 1.8828125, 'learning_rate': 4.9999979883018564e-05, 'epoch': 0.0}
{'loss': 9.6101, 'grad_norm': 1.8046875, 'learning_rate': 4.9999979692788144e-05, 'epoch': 0.0}
{'loss': 9.6499, 'grad_norm': 1.890625, 'learning_rate': 4.9999979501662525e-05, 'epoch': 0.0}
{'loss': 9.6643, 'grad_norm': 2.125, 'learning_rate': 4.99999793096417e-05, 'epoch': 0.0}
{'loss': 10.01, 'grad_norm': 2.140625, 'learning_rate': 4.999997911672568e-05, 'epoch': 0.0}
{'loss': 9.6655, 'grad_norm': 1.78125, 'learning_rate': 4.999997892291445e-05, 'epoch': 0.0}
{'loss': 9.6554, 'grad_norm': 2.078125, 'learning_rate': 4.999997872820803e-05, 'epoch': 0.0}
{'loss': 9.6964, 'grad_norm': 1.9375, 'learning_rate': 4.99999785326064e-05, 'epoch': 0.0}
{'loss': 9.8245, 'grad_norm': 1.9140625, 'learning_rate': 4.9999978336109574e-05, 'epoch': 0.0}
{'loss': 9.7215, 'grad_norm': 1.953125, 'learning_rate': 4.999997813871754e-05, 'epoch': 0.0}
{'loss': 9.7583, 'grad_norm': 1.890625, 'learning_rate': 4.999997794043031e-05, 'epoch': 0.0}
{'loss': 9.8707, 'grad_norm': 1.890625, 'learning_rate': 4.999997774124787e-05, 'epoch': 0.0}
{'loss': 9.8445, 'grad_norm': 1.734375, 'learning_rate': 4.999997754117024e-05, 'epoch': 0.0}
{'loss': 9.7623, 'grad_norm': 2.234375, 'learning_rate': 4.99999773401974e-05, 'epoch': 0.0}
{'loss': 9.8548, 'grad_norm': 1.8203125, 'learning_rate': 4.999997713832937e-05, 'epoch': 0.0}
{'loss': 9.7388, 'grad_norm': 1.890625, 'learning_rate': 4.999997693556613e-05, 'epoch': 0.0}
{'loss': 9.7419, 'grad_norm': 1.78125, 'learning_rate': 4.999997673190768e-05, 'epoch': 0.0}
{'loss': 9.695, 'grad_norm': 1.734375, 'learning_rate': 4.999997652735404e-05, 'epoch': 0.0}
{'loss': 9.7776, 'grad_norm': 1.859375, 'learning_rate': 4.99999763219052e-05, 'epoch': 0.0}
{'loss': 9.4387, 'grad_norm': 2.53125, 'learning_rate': 4.9999976115561156e-05, 'epoch': 0.0}
{'loss': 9.8204, 'grad_norm': 1.96875, 'learning_rate': 4.999997590832191e-05, 'epoch': 0.0}
{'loss': 9.851, 'grad_norm': 1.8671875, 'learning_rate': 4.999997570018746e-05, 'epoch': 0.0}
{'loss': 9.5201, 'grad_norm': 2.125, 'learning_rate': 4.9999975491157815e-05, 'epoch': 0.0}
